transaction_id,account_id,branch_id,amount,transaction_type
T001,A1001,B001,25000,Deposit
T002,A1002,B002,18000,Withdrawal
T003,A1003,B003,32000,Deposit
T004,A1004,B001,45000,Transfer
T005,A1005,B004,12000,Deposit
T006,A1006,B005,27000,Deposit
T007,A1007,B006,15000,Withdrawal
T008,A1008,B007,38000,Transfer
T009,A1009,B001,22000,Deposit
T010,A1010,B008,50000,Deposit
T011,A1011,B002,17000,Transfer
T012,A1012,B004,29000,Withdrawal
T013,A1013,B005,41000,Deposit
T014,A1014,B006,19000,Transfer
T015,A1015,B007,33000,Deposit
T016,A1016,B001,28000,Withdrawal
T017,A1017,B003,36000,Deposit
T018,A1018,B008,24000,Transfer
T019,A1019,B002,31000,Deposit
T020,A1020,B005,16000,Withdrawal
