sale_id,product,category,amount,sale_date
S001,Laptop,Electronics,75000,2026-09-20
S002,Mouse,Accessories,1500,2026-09-20
S003,Keyboard,Accessories,2500,2026-09-20
S004,Monitor,Electronics,18000,2026-09-21
S005,Phone,Electronics,55000,2026-09-21
S006,Headphones,Accessories,4000,2026-09-21
S007,Tablet,Electronics,32000,2026-09-22
S008,Charger,Accessories,2000,2026-09-22
S009,Laptop,Electronics,80000,2026-09-23
S010,Mouse,Accessories,1800,2026-09-23
S011,Monitor,Electronics,22000,2026-09-24
S012,Phone,Electronics,60000,2026-09-24
S013,Keyboard,Accessories,3000,2026-09-25
S014,Tablet,Electronics,35000,2026-09-25
S015,Headphones,Accessories,4500,2026-09-25
